id,title,author,year,language
1,Lolita,Vladimir Nabokov,1955,English
2,On the Road,William Golding,1957,English
3,The Great Gatsby,F. Scott Fitzgerald,1925,English
4,1984,George Orwell,1948,English
5,A Passage to India,E.M. Forster,1924,English
6,Atonement,Ian McEwan,2001,English
7,Brave New World,Aldous Huxley,1932,English
8,Catch-22,Joseph Heller,1961,English
9,Lord of the Flies,William Golding,1955,English
10,Midnight's Children,Salman Rushdie,1981,English
11,The Big Sleep,Raymond Chandler,1939,English
12,The Catcher in the Rye,J.D. Salinger,1951,English
13,The Grapes of Wrath,John Steinbeck,1939,English
14,The Prime of Miss Jean Brodie,Muriel Spark,1961,English
15,The Sound and the Fury,William Faulkner,1929,English
16,Ulysses,James Joyce,1922,English
17,Under the Volcano,Malcolm Lowry,1947,English
18,A Bend in the River,V.S. Naipaul,1979,English
19,A Clockwork Orange,Anthony Burgess,1963,English
20,A Dance to the Music of Time,Anthony Powell,1951,English
21,A Death in the Family,Karl Ove Knausgaard,1958,English
22,A Handful of Dust,Evelyn Waugh,1934,English
23,American Pastoral,Philip Roth,1997,English
24,An American Tragedy,Theodore Dreiser,1925,English
25,Animal Farm,George Orwell,1946,English
26,Appointment in Samarra,John O'Hara,1934,English
27,As I Lay Dying,William Faulkner,1930,English
28,Austerlitz,W.G. Sebald,2001,English
29,Brideshead Revisited,Evelyn Waugh,1946,English
30,Death Comes for the Archbishop,Willa Cather,1927,English
31,Deliverance,James Dickey,1970,English
32,Herzog,Saul Bellow,1964,English
33,Housekeeping,Marilynne Robinson,1980,English
34,"I, Claudius",Robert Graves,1934,English
35,In Search of Lost Time (Remembrance of Things Past),Marcel Proust,1913,French
36,Invisible Man,Ralph Ellison,1952,English
37,Journey to the End of the Night,Louis-Ferdinand C?line,1932,French
38,Light in August,William Faulkner,1932,English
39,Lord Jim,Joseph Conrad,1900,English
40,Loving,Henry Green,1945,English
41,Lucky Jim,Kingsley Amis,1954,English
42,Native Son,Richard Wright,1940,English
43,Never Let Me Go,Kazuo Ishiguro,2005,English
44,Nostromo,Joseph Conrad,1904,English
45,One Hundred Years of Solitude,Gabriel Garc?a M?rquez,1967,Spanish
46,Pale Fire,Vladimir Nabokov,1962,English
47,Ragtime,E.L. Doctorow,1975,English
48,Scoop,Evelyn Waugh,1938,English
49,Slaughterhouse-Five,Kurt Vonnegut,1969,English
50,Sophie's Choice,William Styron,1979,English
51,The Bridge of San Luis Rey,Thornton Wilder,1927,English
52,The Call of the Wild,Jack London,1903,English
53,The Corrections,Jonathan Franzen,2001,English
54,The Day of the Locust,Nathaniel West,1939,English
55,The Death of the Heart,Elizabeth Bowen,1938,English
56,The Good Soldier,Ford Madox Ford,1915,English
57,The Heart of the Matter,Graham Greene,1948,English
58,The Lord of the Rings,J.R.R. Tolkien,1954,English
59,The Moviegoer,Walker Percy,1961,English
60,The Rainbow,D.H. Lawrence,1915,English
61,The Sheltering Sky,Paul Bowles,1949,English
62,The Sun Also Rises,Ernest Hemingway,1926,English
63,The Trial,Franz Kafka,1925,German
64,Things Fall Apart,Chinua Achebe,1958,English
65,To the Lighthouse,Virginia Woolf,1927,English
66,Tropic of Cancer,Henry Miller,1934,English
67,Under the Net,Iris Murdoch,1954,English
68,White Teeth,Zadie Smith,2000,English
69,Wide Sargasso Sea,Jean Rhys,1966,English
70,A House for Mr. Biswas,V.S. Naipaul,1961,English
71,All the King's Men,Robert Penn Warren,1946,English
72,Go Tell It on the Mountain,James Baldwin,1953,English
73,Gone with the Wind,Margaret Mitchell,1936,English
74,Money,Martin Amis,1984,English
75,Mrs Dalloway,Virginia Woolf,1925,English
76,Portnoy's Complaint,Philip Roth,1969,English
77,The Adventures of Augie March,Saul Bellow,1953,English
78,The Heart is a Lonely Hunter,Carson McCullers,1940,English
79,To Kill a Mockingbird,Harper Lee,1960,English
80,U.S.A. (trilogy),John Dos Passos,1937,English
81,A Farewell to Arms,Ernest Hemingway,1929,English
82,A High Wind in Jamaica,Richard Hughes,1929,English
83,A Little Life,Hanya Yanagihara,2015,English
84,A Portrait of the Artist as a Young Man,James Joyce,1916,English
85,A Room of One's Own,Virginia Woolf,1929,English
86,A Room With a View,E.M. Forster,1908,English
87,A Visit from The Goon Squad,Jennifer Egan,2010,English
88,Adults in the Room,Yanis Varoufakis,2017,English
89,Alcools,Guillaume Apollinaire,1913,French
90,Alice's Adventures In Wonderland,Lewis Carroll,1865,English
91,Amers,Saint-John Perse,1957,French
92,An Artist of the Floating World,Kazuo Ishiguro,1986,English
93,Angle of Repose,Wallace Stegner,1971,English
94,Anna Karenina,Leo Tolstoy,1878,Russian
95,"Are You There God? It's Me, Margaret",Judy Blume,1970,English
96,Asterix the Gaul,Ren? Goscinny and Albert Uderzo,1959,French
97,At Swim-Two-Birds,Flann O'Brien,1939,English
98,Aur?lien,Louis Aragon,1944,French
99,Autumn,Ali Smith,2016,English
100,Bad Blood,Lorna Sage,2000,English
